Tranc_Yr,Tranc_Mth,CPI Housing
2000,January,75.962
2000,February,75.961
2000,March,75.961
2000,April,75.962
2000,May,75.962
2000,June,75.962
2000,July,76.066
2000,August,76.067
2000,September,76.069
2000,October,76.341
2000,November,76.344
2000,December,76.347
2001,January,76.632
2001,February,76.633
2001,March,76.631
2001,April,76.631
2001,May,76.631
2001,June,76.632
2001,July,76.608
2001,August,76.607
2001,September,76.607
2001,October,76.536
2001,November,76.536
2001,December,76.537
2002,January,76.354
2002,February,76.354
2002,March,76.354
2002,April,76.076
2002,May,76.076
2002,June,76.076
2002,July,75.864
2002,August,75.856
2002,September,75.858
2002,October,75.695
2002,November,75.695
2002,December,75.681
2003,January,75.491
2003,February,75.491
2003,March,75.491
2003,April,75.243
2003,May,75.243
2003,June,75.243
2003,July,75.012
2003,August,75.016
2003,September,75.014
2003,October,74.81
2003,November,74.809
2003,December,74.809
2004,January,70.776
2004,February,76.355
2004,March,72.886
2004,April,75.909
2004,May,75.905
2004,June,72.484
2004,July,75.474
2004,August,75.472
2004,September,75.135
2004,October,75.526
2004,November,75.494
2004,December,75.477
2005,January,70.719
2005,February,75.482
2005,March,73.656
2005,April,75.571
2005,May,75.56
2005,June,72.034
2005,July,75.592
2005,August,75.572
2005,September,75.046
2005,October,75.609
2005,November,75.608
2005,December,75.647
2006,January,72.689
2006,February,75.695
2006,March,73.799
2006,April,75.822
2006,May,75.817
2006,June,73.953
2006,July,75.846
2006,August,75.895
2006,September,75.39
2006,October,75.849
2006,November,75.883
2006,December,75.924
2007,January,68.954
2007,February,73.042
2007,March,74.231
2007,April,75.676
2007,May,76.78
2007,June,75.274
2007,July,78.823
2007,August,79.811
2007,September,77.528
2007,October,80.68
2007,November,81.787
2007,December,74.465
2008,January,78.316
2008,February,80.273
2008,March,80.656
2008,April,84.598
2008,May,86.437
2008,June,85.929
2008,July,89.738
2008,August,91.394
2008,September,90.683
2008,October,93.222
2008,November,93.783
2008,December,92.015
2009,January,94.218
2009,February,94.106
2009,March,91.895
2009,April,91.305
2009,May,93.125
2009,June,90.559
2009,July,92.468
2009,August,92.209
2009,September,90.96
2009,October,91.772
2009,November,91.647
2009,December,89.138
2010,January,91.541
2010,February,91.516
2010,March,90.788
2010,April,91.836
2010,May,92.141
2010,June,90.264
2010,July,93.077
2010,August,93.428
2010,September,93.96
2010,October,94.981
2010,November,95.604
2010,December,94.326
2011,January,97.254
2011,February,97.926
2011,March,98.646
2011,April,96.973
2011,May,100.784
2011,June,99.642
2011,July,102.998
2011,August,103.912
2011,September,104.095
2011,October,105.305
2011,November,105.969
2011,December,104.487
2012,January,107.298
2012,February,107.919
2012,March,108.347
2012,April,109.269
2012,May,109.85
2012,June,110.418
2012,July,111.002
2012,August,111.588
2012,September,112.13
2012,October,112.511
2012,November,112.927
2012,December,113.325
2013,January,113.893
2013,February,114.336
2013,March,114.644
2013,April,111.882
2013,May,115.437
2013,June,115.69
2013,July,113.934
2013,August,116.246
2013,September,116.475
2013,October,114.664
2013,November,116.652
2013,December,116.627
2014,January,116.759
2014,February,116.691
2014,March,116.592
2014,April,113.726
2014,May,116.448
2014,June,116.218
2014,July,114.176
2014,August,115.848
2014,September,115.536
2014,October,113.636
2014,November,114.985
2014,December,114.677
2015,January,114.498
2015,February,114.294
2015,March,114.032
2015,April,110.902
2015,May,113.508
2015,June,113.188
2015,July,110.995
2015,August,112.507
2015,September,112.189
2015,October,110.198
2015,November,111.568
2015,December,111.221
2016,January,110.972
2016,February,110.685
2016,March,110.33
2016,April,109.957
2016,May,106.701
2016,June,109.22
2016,July,106.972
2016,August,108.449
2016,September,108.09
2016,October,106.05
2016,November,107.374
2016,December,106.977
2017,January,106.614
2017,February,106.282
2017,March,105.876
2017,April,102.566
2017,May,105.085
2017,June,104.969
2017,July,102.581
2017,August,104.18
2017,September,103.853
2017,October,101.558
2017,November,103.238
2017,December,102.936
2018,January,100.997
2018,February,102.496
2018,March,102.238
2018,April,98.889
2018,May,101.742
2018,June,101.79
2018,July,99.498
2018,August,101.429
2018,September,101.28
2018,October,99.045
2018,November,101.056
2018,December,100.949
2019,January,99.055
2019,February,100.585
2019,March,100.58
2019,April,97.802
2019,May,100.574
2019,June,100.595
2019,July,98.853
2019,August,100.672
2019,September,100.711
2019,October,98.957
2019,November,100.775
2019,December,100.842
2020,January,99.346
2020,February,100.974
2020,March,101.042
2020,April,98.315
2020,May,101.099
2020,June,101.097
2020,July,99.286
2020,August,101.076
2020,September,101.104
2020,October,99.207
2020,November,101.037
2020,December,101.119
2021,January,99.834
2021,February,101.457
2021,March,101.597
2021,April,99.007
2021,May,101.96
2021,June,102.201
2021,July,100.721
2021,August,102.801
2021,September,102.979
2021,October,101.67
2021,November,103.74
2021,December,104.119
2022,January,102.963
2022,February,104.783
2022,March,105.178
2022,April,102.879
2022,May,106.03
2022,June,106.482
2022,July,105.345
2022,August,107.644
2022,September,108.075
2022,October,106.702
2022,November,108.77
2022,December,109.04
2023,January,109.29
2023,February,109.35
